label,group,description,value,unit,rationale,reference,link
Fact_R_G_energy_consulting_total_personel,ud,Zahl Energieberater Deutschland 2019,12500,,"Obere in der Quelle angegebene Grenze:                 Bundesstelle fÃ¼r Energieeffizienz (BfEE) (Hrsg.), â€žEmpirische Untersuchung des Marktes fÃ¼r Energiedienstleistungen, Energieaudits und andere EnergieeffizienzmaÃŸnahmen im Jahr 2019â€œ, Endbericht 2019 - BfEE 17/2017",,
Fact_R_buildings_livingspace_oneflat,ud (Eingabe) ,Durschnittliche WohnflÃ¤che eines WohngebÃ¤udes mit 1 Wohnung (2015?),129.17,,"Berechnung nach Tabelle statistisches Bundesamt ""BautÃ¤tigkeit und Wohnungen"" Stand 31.12.2019"," statistisches Bundesamt ""BautÃ¤tigkeit und Wohnungen"" Stand 31.12.2019",
Fact_R_buildings_livingspace_twoflat,ud (Eingabe) ,Durschnittliche WohnflÃ¤che eines WohngebÃ¤udes mit 2 Wohnungen (2015?),193.08,,"Berechnung nach Tabelle statistisches Bundesamt ""BautÃ¤tigkeit und Wohnungen"" Stand 31.12.2019"," statistisches Bundesamt ""BautÃ¤tigkeit und Wohnungen"" Stand 31.12.2019",
Fact_R_buildings_livingspace_moreflat,ud (Eingabe) ,Durschnittliche WohnflÃ¤che eines WohngebÃ¤udes mit 3 oder mehr Wohnungen (2015?),468.08,,"Berechnung nach Tabelle statistisches Bundesamt ""BautÃ¤tigkeit und Wohnungen"" Stand 31.12.2019"," statistisches Bundesamt ""BautÃ¤tigkeit und Wohnungen"" Stand 31.12.2019",
Fact_R_buildings_livingspace_dorm,ud (Eingabe) ,Durschnittliche WohnflÃ¤che eines Wohnheimes (2015?),964.67,,"Berechnung nach Tabelle statistisches Bundesamt ""BautÃ¤tigkeit und Wohnungen"" Stand 31.12.2019"," statistisches Bundesamt ""BautÃ¤tigkeit und Wohnungen"" Stand 31.12.2019",
Fact_R_P_flats_2011,ui,Anzahl Wohnungen in Deutschland gesamt in 2011 (GebÃ¤udezensus),40545317,,Gesamtzahl aller Wohnungen in Deutschland,,
Fact_R_P_flats_w_heatnet_2011,ud (Eingabe) ; ui ,Anzahl Wohnungen in in Deutschland gesamt mit FernwÃ¤rmeanschluss,5006685,,Gesamtzahl aller Wohnungen mit FernwÃ¤rmeanschluss  in Deutschland,GebÃ¤udezensus 2011,
Fact_R_P_newbuilt_2011_2018,ud (Eingabe) ,Zuwachs WohngebÃ¤ude in Deutschland 2011-2018,729970,,,Destatis GebÃ¤ude und Wohnungen 1969-2020,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.pdf?__blob=publicationFile
Fact_R_P_ratio_fec_to_area_until_1919_2014,ud,flÃ¤chenbezogener Energiebedarf nach Baujahren (bis 1919),0.169,,,S. 7 in Sanierungsbedarf im GebÃ¤udebestand (BMWi),https://www.bmwi.de/Redaktion/DE/Publikationen/Energie/sanierungsbedarf-im-gebaeudebestand.pdf?__blob=publicationFile&v=3
Fact_R_P_ratio_fec_to_area_1919_1948_2014,ud,flÃ¤chenbezogener Energiebedarf nach Baujahren (1919-1948),0.187,,,s.o.,s.o.
Fact_R_P_ratio_fec_to_area_1949_1978_2014,ud,flÃ¤chenbezogener Energiebedarf nach Baujahren (1949-1978),0.208,,,s.o.,s.o.
Fact_R_P_ratio_fec_to_area_1979_1995_2014,ud,flÃ¤chenbezogener Energiebedarf nach Baujahren (1979-1995),0.146,,,s.o.,s.o.
Fact_R_P_ratio_fec_to_area_1996_2002_2014,ud,flÃ¤chenbezogener Energiebedarf nach Baujahren (1996-2002),0.102,,,s.o.,s.o.
Fact_R_P_ratio_fec_to_area_2003_2009_2014,ud,flÃ¤chenbezogener Energiebedarf nach Baujahren (2003-2009),0.071,,,s.o.,s.o.
Fact_R_P_ratio_fec_to_area_2010_2014_2014,ud,flÃ¤chenbezogener Energiebedarf nach Baujahren (2010-heute),0.05,,,s.o.,s.o.
Fact_R_P_ratio_renovated_buildings to_not_renovated_2021,ud,Anteil schon sanierter WohngebÃ¤ude (2014) + Sanierungen 2015-2021,0.07,,"Die Quelle beziffert den Anteil der GebÃ¤ude mit einem Energieverbrauch von unter 70 kWh/(m^2 *a) mit 8%. Das entspricht dem Anteil der seit 2005 neu errichteten GebÃ¤ude. Bei einer Sanierungsrate von 1%/Jahr (dena 2019: ""Die Sanierungsrate stagniert weiter bei etwa einem Prozent pro Jahr"") kommen von 2015 bis 2021 noch einmal 7% dazu.","Dena GebÃ¤udereport 2016 S. 64,, Dena GebÃ¤udereport kompakt 2019",https://www.dena.de/fileadmin/user_upload/8162_dena-Gebaeudereport.pdf  https://www.dena.de/newsroom/meldungen/2019/dena-gebaeudereport-waermewende-kommt-seit-2010-nicht-voran/
Fact_B_P_ratio_renovated_to_not_renovated_2021,ud,Anteil schon sanierter NichtwohngebÃ¤ude 2021,0.15,,In Ermangelung von Daten wird die gleiche Sanierungsrate (1% pro Jahr) und der gleiche Anteil neuer (d.h.nicht zu sanierender) GebÃ¤ude seit 2005 (8%) wie bei den WohngebÃ¤uden angenommen .,,
Fact_R_P_energetical_renovation_cost_2018,Wert fehlt (?) ,Kosten energetische GebÃ¤udesanierung,4,,Durchschnittlichen Kosten fÃ¼r energetische GebÃ¤udesanierung pro m2. Gesamtinvest energ. Sanierung KfW 40 91 Mrd (S.4 nymoen)/140 Mio m2 = 650. KfW 40 entspricht laut BMWi 2014 EEV von 35 kWh/m2*a (55% von 65 kWh = KfW 85 https://de.wikipedia.org/wiki/Energiestandard) ,"S. 4, 15 nymoen, S.11 bmwi",https://www.uvb-online.de/de/system/files/downloads_und_vorschaubilder/2020-06-10_nymoen_kosten_klimaneutralitaet.pdf https://www.bmwi.de/Redaktion/DE/Publikationen/Energie/sanierungsbedarf-im-gebaeudebestand.pdf?__blob=publicationFile&v=3
Fact_R_P_energetical_renovation_cost_detached_house_until_1949,ud,Kosten energetische GebÃ¤udesanierung: EFH/ZFH Bj. bis 1949,702,â‚¬/qm,,"""Kosten der klimaneutralen Sanierung des Berliner WohngebÃ¤udebestands"", nymoen 2020, S. 6",https://www.energietage.de/fileadmin/user_upload/2020/Vortraege/2.08_Nymoen_Ergebnisse_Kosten_Klimaneutralitaet.pdf
Fact_R_P_energetical_renovation_cost_detached_house_1949_1979,ud,Kosten energetische GebÃ¤udesanierung: EFH/ZFH Bj. 1949-1979,644,â‚¬/qm,,"""Kosten der klimaneutralen Sanierung des Berliner WohngebÃ¤udebestands"", nymoen 2020, S. 6",https://www.energietage.de/fileadmin/user_upload/2020/Vortraege/2.08_Nymoen_Ergebnisse_Kosten_Klimaneutralitaet.pdf
Fact_R_P_energetical_renovation_cost_detached_house_1980+,ud,Kosten energetische GebÃ¤udesanierung: EFH/ZFH Bj. ab 1980,580,â‚¬/qm,,"""Kosten der klimaneutralen Sanierung des Berliner WohngebÃ¤udebestands"", nymoen 2020, S. 6",https://www.energietage.de/fileadmin/user_upload/2020/Vortraege/2.08_Nymoen_Ergebnisse_Kosten_Klimaneutralitaet.pdf
Fact_R_P_energetical_renovation_cost_apartm_building_until_1949,ud,Kosten energetische GebÃ¤udesanierung: MFH Bj. bis 1949,580,â‚¬/qm,,"""Kosten der klimaneutralen Sanierung des Berliner WohngebÃ¤udebestands"", nymoen 2020, S. 6",https://www.energietage.de/fileadmin/user_upload/2020/Vortraege/2.08_Nymoen_Ergebnisse_Kosten_Klimaneutralitaet.pdf
Fact_R_P_energetical_renovation_cost_apartm_building_1949_1979,ud,Kosten energetische GebÃ¤udesanierung: MFH Bj. 1949-1979,532,â‚¬/qm,,"""Kosten der klimaneutralen Sanierung des Berliner WohngebÃ¤udebestands"", nymoen 2020, S. 6",https://www.energietage.de/fileadmin/user_upload/2020/Vortraege/2.08_Nymoen_Ergebnisse_Kosten_Klimaneutralitaet.pdf
Fact_R_P_energetical_renovation_cost_apartm_building_1980+,ud,Kosten energetische GebÃ¤udesanierung: MFH Bj. ab 1980,478,â‚¬/qm,,"""Kosten der klimaneutralen Sanierung des Berliner WohngebÃ¤udebestands"", nymoen 2020, S. 6",https://www.energietage.de/fileadmin/user_upload/2020/Vortraege/2.08_Nymoen_Ergebnisse_Kosten_Klimaneutralitaet.pdf
Fact_R_P_energetical_renovation_cost_housing_complex,ud,Kosten energetische GebÃ¤udesanierung: GroÃŸsiedlung,431,â‚¬/qm,,"""Kosten der klimaneutralen Sanierung des Berliner WohngebÃ¤udebestands"", nymoen 2020, S. 6",https://www.energietage.de/fileadmin/user_upload/2020/Vortraege/2.08_Nymoen_Ergebnisse_Kosten_Klimaneutralitaet.pdf
Fact_R_P_energetical_renovation_cost_business,du,Kosten energetische GebÃ¤udesanierung: NichtwohngebÃ¤ude,478,â‚¬/qm,In Ermangelung spezifischer Daten werden hier NichtwohngebÃ¤ude wie MehrfamilienhÃ¤user ab Bj. 1980 behandelt: sie sind typischerweise jÃ¼nger als WohngebÃ¤ude und haben eine vergleichsweise groÃŸe NutzflÃ¤che. Ein spezielles Beispiel siehe Link.,"""Kosten der klimaneutralen Sanierung des Berliner WohngebÃ¤udebestands"", nymoen 2020, S. 6",https://www.solaroffice.de/fileadmin/solaroffice/dokumente/downloads/190212_Muster_Sanierungsfahrplan_Nichtwohngebaeude.pdf
Fact_R_S_coal_fec_2018,ud (Eingabe) ; ui ; ufyi,EEV Haushalte 2021 Kohle,4050833.333333333,,"Steinkohlen, Braunkohlen","AG EB 2023 Bilanz 2021 Zeile 66, Spalte C, D, H",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf 
Fact_R_S_petrol_fec_2018,ud (Eingabe) ; ui ; ufyi,EEV Haushalte 2021 Benzin,872777.7777777778,,Ottokraftstoffe (Benzin),"AG EB 2023 Bilanz 2021 Zeile 66, Spalte L",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf 
Fact_R_S_fueloil_fec_2018,ud (Eingabe) ; ui ; ufyi,EEV Haushalte 2021 HeizÃ¶l,80707777.77777778,,Heizöl leicht,"AG EB 2023 Bilanz 2021 Zeile 66, Spalte P",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf 
Fact_R_S_lpg_fec_2018,ud (Eingabe) ; ui ; ufyi,EEV Haushalte 2021 LPG,10423333.333333334,,Flüssiggas,"AG EB 2023 Bilanz 2021 Zeile 66, Spalte S",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf 
Fact_R_S_gas_fec_2018,ud (Eingabe) ; ui ; ufyi,EEV Haushalte 2021 Erdgas,287980277.7777778,,Erdgas,"AG EB 2023 Bilanz 2021 Zeile 66, Spalte X",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf 
Fact_R_S_biomass_fec_2018,ud (Eingabe) ; ui ; ufyi,EEV Haushalte 2021 Biomasse,81891388.88888888,,Biomasse,"AG EB 2023 Bilanz 2021 Zeile 66, Spalte AA",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf 
Fact_R_S_orenew_fec_2018,ud (Eingabe) ; ui ; ufyi,EEV Haushalte 2021 Sonstige EE (Geothermie+Solarthermie+WÃ¤rmepumpe),24868611.111111112,,sonstige erneuerbare EnergietrÃ¤ger = Geothermie + Solarthermie + UmweltwÃ¤rme (=WÃ¤rmepumpe),"AG EB 2023 Bilanz 2021 Zeile 66, Spalte AB",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf 
Fact_R_S_elec_heating_fec_2018,ud,EEV Haushalte Stromheizung direkt 2021,22583333.333333332,,"Stromheizung direkt für Raumwärme (27,7 PJ) und Warmwasser (53,6 PJ) 2021. Wärmepumpe wird gesondert ausgewiesen und ist daher nicht enthalten.","RWI 2022 Erstellung der Anwendungsbilanzen 2021 für den Sektor der Privaten Haushalte und den Verkehrssektor in Deutschland, S.16 (Tabelle 5)",https://www.rwi-essen.de/fileadmin/user_upload/RWI/Publikationen/Projektberichte/AGEB_Anwendungsbilanz_2021__priv._HH_und_Verkehr__vorl._EB.pdf
Fact_R_S_heatpump_fec_2018,ui,EEV Haushalte 2021 WÃ¤rmepumpe,16305555.555555556,,"WÃ¤rmepumpe allein, Teil von Sonstige EE. EnthÃ¤lt thematisch wahrscheinlich auch Geothermie, aber diese kann laut RWI nicht zugeordnet werden.","RWI 2022 Erstellung der Anwendungsbilanzen 2021 für den Sektor der Privaten Haushalte und den Verkehrssektor in Deutschland, S.16 (Tabelle 5)",https://www.rwi-essen.de/fileadmin/user_upload/RWI/Publikationen/Projektberichte/AGEB_Anwendungsbilanz_2021__priv._HH_und_Verkehr__vorl._EB.pdf
Fact_R_S_solarth_fec_2018,ui,EEV Haushalte 2021 Solarthermie,8083333.333333333,,"Solarthermie allein, Teil von Sonstige EE","RWI 2022 Erstellung der Anwendungsbilanzen 2021 für den Sektor der Privaten Haushalte und den Verkehrssektor in Deutschland, S.16 (Tabelle 5)",https://www.rwi-essen.de/fileadmin/user_upload/RWI/Publikationen/Projektberichte/AGEB_Anwendungsbilanz_2021__priv._HH_und_Verkehr__vorl._EB.pdf
Fact_R_S_elec_fec_2018,ud (Eingabe) ; ufyi,EEV Haushalte 2021 Strom,138473055.55555555,,Strom,"AG EB 2023 Bilanz 2021 Zeile 66, Spalte AD",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf 
Fact_R_S_heatnet_fec_2018,ud (Eingabe) ; ufyi,EEV Haushalte 2021 FernwÃ¤rme,59365833.33333333,,FernwÃ¤rme,"AG EB 2023 Bilanz 2021 Zeile 66, Spalte AF",https://ag-energiebilanzen.de/wp-content/uploads/2023/03/Bilanz-2021.pdf 
Fact_R_S_ground_heatpump_mean_annual_performance_factor_stock_2018,ud ; ui,Mittlere Jahresarbeitszahl von ErdwÃ¤rmepumpen BestandsgebÃ¤ude,4.1,,,"Fraunhofer ISI, ""WÃ¤rmepumpen in BestandsgebÃ¤uden"", S. 78",https://www.ise.fraunhofer.de/content/dam/ise/de/downloads/pdf/Forschungsprojekte/BMWi-03ET1272A-WPsmart_im_Bestand-Schlussbericht.pdf
Fact_R_S_air_heatpump_mean_annual_performance_factor_stock_2018,ud ; ui,Mittlere Jahresarbeitszahl von Luft-WÃ¤rmepumpen BestandsgebÃ¤ude,3.1,,,"Fraunhofer ISI, ""WÃ¤rmepumpen in BestandsgebÃ¤uden"", S. 68",https://www.ise.fraunhofer.de/content/dam/ise/de/downloads/pdf/Forschungsprojekte/BMWi-03ET1272A-WPsmart_im_Bestand-Schlussbericht.pdf
Fact_R_S_ratio_ground_to_air_heatpumps_in_new_installations_2018,ui,Anteil von ErdwÃ¤rmepumpen in neuen Anlagen,0.206,,, Bundesverband WÃ¤rmepumpe (BWP) e.V,https://www.waermepumpe.de/presse/pressemitteilungen/details/positives-signal-fuer-den-klimaschutz-40-prozent-wachstum-bei-waermepumpen/#content
Fact_R_S_ratio_air_to_ground_heatpumps_in_new_installations_2018,ui,Anteil von LuftwÃ¤rmepumpen in neuen Anlagen,0.794,,,s.o.,s.o.
Fact_R_S_electric_air_water_heatpumps_specific_cost_2018,ui,Spezifische Kosten fÃ¼r elektrische Luft/Wasser-WÃ¤rmepumpen,1260,,,"Umweltbundesamt, Klimaneutraler, GebÃ¤udebestand 2050, S. 248",https://www.umweltbundesamt.de/sites/default/files/medien/378/publikationen/climate_change_06_2016_klimaneutraler_gebaeudebestand_2050.pdf
Fact_R_S_electric_brine_water_heatpumps_specific_cost_2018,ui,Spezifische Kosten fÃ¼r elektrische Sole/Wasser-WÃ¤rmepumpen,1591,,,s.o.,
Fact_R_S_heatpump_cost,ud,Mittlere spezifischen Kosten fÃ¼r elektrische WÃ¤rmepumpen,1328.186,,berechnet (Kosten multipliziert mit Anteil an Neuanlagen),,
Fact_R_S_fhou,ud,Vollbenutzungsstunden fÃ¼r WohngebÃ¤ude,1800,,Mittelwert von 1.500 - 2.100,"Stadt Frankfurt am Main, Senkung der Heizenergiekosten in Ã¶ffentlichen GebÃ¤uden, S. 8",https://energiemanagement.stadt-frankfurt.de/Betriebsoptimierung/Seminarprogramm/Seminar-Teil-2-Heizung.pdf
Fact_RB_S_biomass_CO2e_EF,ud,Verbrennungsbedinger Emissionsfaktor non-CO2-THG feste Biomasse Haushalte und GHD,0.0141813719930899,,"Das UBA weist verbrennungsbedingte CO2-Emissionen bei Biomasse nur nachrichtlich aus (NIR 2021 S. 857 FuÃŸnote 3), weswegen wir auch so verfahren. Die non-CO2-THG, die wÃ¤hrend der Verbrennung auftreten, kÃ¶nnen jedoch mithilfe der Emissionsbilanz erneuerbarer EnergietrÃ¤ger errecht werden. FÃ¼r die Wärme-Erzeugung aus fester Biomasse in PH+GHD (98.820 TWh) wurden 1.401.000 t/a CO2e fÃ¼r die non-CO2-THG-Emissionen aus der Verbrennung berechnet. ","UBA 2022 Emissionsbilanz EE 2021 Kapitel 5.1 (ab S. 93), extra Berechnungstabelle UBA_2022_EEE_EF_non-CO2-THG_Biomasse_2021.xlsx",https://www.umweltbundesamt.de/sites/default/files/medien/1410/publikationen/2022-12-09_climate-change_43-2022_emissionsbilanz_erneuerbarer_energien_2021.pdf
Fact_R_S_coal_CO2e_EF,ud,Emissionsfaktor Kohle Haushalte,0.3553273896681492,,"gewichtetes Mittel gemäß Verbrauchsanteilen in AG Energiebilanzen (83 TJ Steinkohle, 2072 TJ Steinkohlebriketts, 12460 TJ Braunkohlebriketts)/14615 TJ, Berechnung =(83*93.9+2072*95.9+12460*99.2)/14615*3.6/1000","UBA 2023 NIR 2021 Tabelle 481, S. 854ff",https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023
Fact_H_P_LPG_cb_EF,ud ,Verbrennungsbedingter Emissionsfaktor LPG 2021,0.23868,,Brennstoffbezogener Emissionsfaktor LPG Berechnung =66.3*3.6/1000,"UBA 2023 NIR 2021 Tabelle 481, S. 854ff",https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023
Fact_H_P_petrol_cb_EF,ud ,Verbrennungsbedingter Emissionsfaktor Benzin 2021,0.26388,,Brennstoffbezogener Emissionsfaktor Benzin Berechnung =73.3*3.6/1000,"UBA 2023 NIR 2021 Tabelle 481, S. 854ff",https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023
Fact_H_P_fueloil_cb_EF,du,Verbrennungsbedingter Emissionsfaktor Heizöl (leicht) 2021,0.2664,,Brennstoffbezogener Emissionsfaktor Heizöl (leicht) Berechnung =74*3.6/1000,"UBA 2023 NIR 2021 Tabelle 481, S. 854ff",https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023
Fact_H_P_ngas_cb_EF,du,Verbrennungsbedingter Emissionsfaktor Erdgas 2021,0.20088,,Brennstoffbezogener Emissionsfaktor Erdgas Berechnung =55.8*3.6/1000,"UBA 2023 NIR 2021 Tabelle 481, S. 854ff",https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023
Fact_H_P_kerosene_cb_EF,du,Verbrennungsbedingter Emissionsfaktor Kerosin (Flugturbinenkraftstoff) 2021,0.25632,,Brennstoffbezogener Emissionsfaktor Kerosin (äquivalent mit AG EB Bezeichung Flugturbinenkraftstoff laut https://www.energie-lexikon.info/kerosin.html) Berechnung =55.8*3.6/1000,"UBA 2023 NIR 2021 Tabelle 481, S. 854ff",https://www.umweltbundesamt.de/sites/default/files/medien/11850/publikationen/28_2023
Fact_RB_S_heatpump_ratio_CO2e_to_fec,ud,Emissionsfaktor Nutzung WÃ¤rmepumpe nach Einflussbilanz,0,t CO2e/MWh,GemÃ¤ÃŸ Einflussbilanz entstehen keine Emissionen vor Ort bei der Nutzung einer WÃ¤rmepumpe,siehe Methodik Einflussbilanz (tbd),
Fact_RB_S_heatnet_ratio_CO2e_to_fec,ud,Emissionsfaktor Nutzung FernwÃ¤rme nach Einflussbilanz,0,t CO2e/MWh,GemÃ¤ÃŸ Einflussbilanz entstehen keine Emissionen vor Ort bei der Nutzung von FernwÃ¤rme,siehe Methodik Einflussbilanz (tbd),
Fact_RB_S_solarth_ratio_CO2e_to_fec,ud,Emissionsfaktor Nutzung Solarthermie nach Einflussbilanz,0,t CO2e/MWh,GemÃ¤ÃŸ Einflussbilanz entstehen keine Emissionen vor Ort bei der Nutzung von Solarthermie,siehe Methodik Einflussbilanz (tbd),
Fact_RB_S_elec_ratio_CO2e_to_fec,ud,Emissionsfaktor Nutzung Strom nach Einflussbilanz,0,t CO2e/MWh,GemÃ¤ÃŸ Einflussbilanz entstehen keine Emissionen vor Ort bei der Nutzung von Strom,siehe Methodik Einflussbilanz (tbd),
Fact_B_P_ratio_buisness_buildings_to_all_buildings_area_2016,ud,Anteil NWG an GesamtgebÃ¤udeflÃ¤che,0.310150375939849,,"NichtwohngebÃ¤ude (NWG) machen 1,65 Mrd m2 (Die SchÃ¤tzungen gehen von 1,35 Mrd. mÂ² beheizte NGF (NettogrundflÃ¤che) aus. Mit BerÃ¼cksichtigung von GebÃ¤uden industrieller Nutzung sind es schÃ¤tzungsweise etwa 1,65 Mrd. mÂ²) von 5,32 Mrd m2 GesamtgebÃ¤udeflÃ¤che aus, daher 31% Aufschlag bei FlÃ¤che. Aber WÃ¤rmeanteil sind 37% an GesamtwÃ¤rmebedarf. ",S. 157 im Dena GebÃ¤udereport 2016 ,https://www.dena.de/fileadmin/user_upload/8162_dena-Gebaeudereport.pdf
Fact_B_P_number_business_buildings_2016,ud,Zahl der beheizten NichtwohngebÃ¤ude in Deutschland (ohne Industrie) ,2700000,,,S. 156 im Dena GebÃ¤udereport 2016 ,https://www.dena.de/fileadmin/user_upload/8162_dena-Gebaeudereport.pdf
Fact_B_P_renovations_ratio_wage_to_main_revenue_2017,ud,"Anteil Personalkosten am Umsatz Ausbaugewerbe (WZ 43.2, 43.3) 2018",0.326,,Das Ausbaugewerbe ist verantwortlich fÃ¼r energetische Sanierungen,"destatis 2020 Fachserie 4 Reihe 5.3 Produzierendes Gewerbe Kostenstruktur der Rechtlichen Einheiten im Baugewerbe 2018, S. 7",https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Publikationen/Downloads-Baugewerbe-Struktur/kostenstruktur-baugewerbe-2040530187004.pdf?__blob=publicationFile
Fact_B_P_install_elec_wage_2018,ui,Personalkosten Elektroinstallation (WZ 43.21) insgesamt,5089505000,â‚¬,"Personalkosten in Elektroinstallation (WZ 43.21) insgesamt (5089505000 â‚¬, S.76) ","destatis 2020 Fachserie 4 Reihe 5.3 Produzierendes Gewerbe Kostenstruktur der Rechtlichen Einheiten im Baugewerbe 2018, S. 76",https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Publikationen/Downloads-Baugewerbe-Struktur/kostenstruktur-baugewerbe-2040530187004.pdf?__blob=publicationFile
Fact_B_P_install_elec_emplo_2017,ud,BeschÃ¤ftigte Elektroinstallation (WZ 43.21) 2018,125568,,"Arbeitnehmer in Elektroinstallation (WZ 43.21) insgesamt (125568, S.70) ","destatis 2020 Fachserie 4 Reihe 5.3 Produzierendes Gewerbe Kostenstruktur der Rechtlichen Einheiten im Baugewerbe 2018, S. 70",https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Publikationen/Downloads-Baugewerbe-Struktur/kostenstruktur-baugewerbe-2040530187004.pdf?__blob=publicationFile
Fact_B_P_install_heating_wage_2018,ui,"Personalkosten in der Gas-, Wasser-, Heizungs- sowie LÃ¼ftungs- und Klimainstallation (WZ 43.22) 2018",5993365000,â‚¬,"Personalkosten in Heizungsinstallation (WZ 43.22) insgesamt (5.993.365.000 â‚¬, S.76) ","destatis 2020 Fachserie 4 Reihe 5.3 Produzierendes Gewerbe Kostenstruktur der Rechtlichen Einheiten im Baugewerbe 2018, S. 76",https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Publikationen/Downloads-Baugewerbe-Struktur/kostenstruktur-baugewerbe-2040530187004.pdf?__blob=publicationFile
Fact_B_P_install_heating_emplo_2017,ud,"BeschÃ¤ftigte in der Gas-, Wasser-, Heizungs- sowie LÃ¼ftungs- und Klimainstallation (WZ 43.22) 2018",138641,,"Arbeitnehmer in Heizungsinstallation (WZ 43.22) insgesamt (138641, S.70) ","destatis 2020 Fachserie 4 Reihe 5.3 Produzierendes Gewerbe Kostenstruktur der Rechtlichen Einheiten im Baugewerbe 2018, S. 70",https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Publikationen/Downloads-Baugewerbe-Struktur/kostenstruktur-baugewerbe-2040530187004.pdf?__blob=publicationFile
Fact_B_P_constr_main_revenue_pct_of_wage_2017,ud,"Anteil Personalkosten am Umsatz Betriebe Bauhauptgewerbe (WZ 41.2, 42, 43.1, 43.9) 2017",0.25,,"Das Bauhauptgewerbe umfasst WZ 41.2 (Bau von GebÃ¤uden), WZ 42 (Tiefbau), ZW 43.1 (Abbrucharbeiten) und WZ 43.9 (Sonstige spezialisierte BautÃ¤tigkeiten). Damit umfasst es die wichtigsten Bereiche fÃ¼r den Industriebau und ist geeignet, fÃ¼r die Baukosten im Industriebereich zu fungieren.","destatis 2020 Fachserie 4 Reihe 5.3 Produzierendes Gewerbe Kostenstruktur der Rechtlichen Einheiten im Baugewerbe 2018, S. 7",https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Publikationen/Downloads-Baugewerbe-Struktur/kostenstruktur-baugewerbe-2040530187004.pdf?__blob=publicationFile
Fact_B_P_constr_main_wage_2017,ui,"Personalkosten Bauhauptgewerbe (WZ 41.2, 42, 43.1, 43.9) 2018",23832252000,â‚¬,"Summe der vier WZ (WZ 41.2, 42, 43.1, 43.9) im Bauhauptgewerbe: =8370738000 + 9765140000 + 776402000 + 4919972000","destatis 2020 Fachserie 4 Reihe 5.3 Produzierendes Gewerbe Kostenstruktur der Rechtlichen Einheiten im Baugewerbe 2018, S. 74ff",https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Publikationen/Downloads-Baugewerbe-Struktur/kostenstruktur-baugewerbe-2040530187004.pdf?__blob=publicationFile
Fact_B_P_constr_main_emplo_2017,ui,"BeschÃ¤ftigte Bauhauptgewerbe (WZ 41.2, 42, 43.1, 43.9) 2018",483997,,"Summe der vier WZ (WZ 41.2, 42, 43.1, 43.9) im Bauhauptgewerbe: = 165767 + 191821 + 17458 + 108951","destatis 2020 Fachserie 4 Reihe 5.3 Produzierendes Gewerbe Kostenstruktur der Rechtlichen Einheiten im Baugewerbe 2018, S. 68ff.",https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Publikationen/Downloads-Baugewerbe-Struktur/kostenstruktur-baugewerbe-2040530187004.pdf?__blob=publicationFile
Fact_B_P_renovation_wage_2018,ui,"Personalkosten Ausbaugewerbe (WZ 43.2, 43.3) insgesamt",17340716000,â‚¬,"Summe der zwei WZ (43.2, 43.3) im Ausbaugewerbe: = 13412282000 + 3928434000","destatis 2020 Fachserie 4 Reihe 5.3 Produzierendes Gewerbe Kostenstruktur der Rechtlichen Einheiten im Baugewerbe 2018, S. 74ff",https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Publikationen/Downloads-Baugewerbe-Struktur/kostenstruktur-baugewerbe-2040530187004.pdf?__blob=publicationFile
